html_url_repository,vcs_usage,life_span,first_commit_user,first_commit_date,repo_active,date
https://github.com/cjvanlissa/S20,True,5,False,JeroenDMulder,2021-06-24,2022-09-20
https://github.com/cjvanlissa/S23,True,701,False,cjvanlissa,2019-08-04,2022-09-20
https://github.com/cjvanlissa/S23_student,True,4,False,cjvanlissa,2021-06-13,2022-09-20
https://github.com/cjvanlissa/schumpe,True,166,False,cjvanlissa,2020-07-20,2022-09-20
https://github.com/cjvanlissa/shiny_errata,True,1,True,cjvanlissa,2022-02-27,2022-09-20
https://github.com/cjvanlissa/shiny_welzijnsmeter,False,0,True,cjvanlissa,2022-02-21,2022-09-20
https://github.com/cjvanlissa/sra_demo,False,0,True,cjvanlissa,2022-01-19,2022-09-20
https://github.com/cjvanlissa/storm_meta_father_mother,True,550,False,cjvanlissa,2019-09-23,2022-09-20
https://github.com/cjvanlissa/TCSM,True,820,True,cjvanlissa,2019-08-04,2022-09-20
https://github.com/cjvanlissa/TCSM_student,True,25,False,cjvanlissa,2020-08-20,2022-09-20
https://github.com/cjvanlissa/teaching,False,0,False,cjvanlissa,2020-09-30,2022-09-20
https://github.com/cjvanlissa/test-gitbook,False,0,False,cjvanlissa,2020-04-03,2022-09-20
https://github.com/cjvanlissa/test_gert,False,0,False,cjvanlissa,2020-11-11,2022-09-20
https://github.com/cjvanlissa/test_https,False,0,False,cjvanlissa,2020-11-18,2022-09-20
https://github.com/cjvanlissa/test_ssh,False,0,False,cjvanlissa,2020-11-18,2022-09-20
https://github.com/cjvanlissa/tidySEM,True,1005,True,cjvanlissa,2019-12-08,2022-09-20
https://github.com/cjvanlissa/tmp,False,0,False,OPECHEESE,2020-05-10,2022-09-20
